title	series	country	face_value	release_date	mint	mint_short	metal	metal_fineness	mintage	mintage_display	weight_g	weight_oz	catalog_number	catalog_suffix	quality	diameter_mm	thickness_mm	length_mm	width_mm	image_obverse	image_reverse
American Silver Eagle 2008	American Eagle	США	1 доллар	2008-01-01	Монетный двор США	US Mint	Серебро	999/1000	20583000	20 583 000	31,1035	1 унция	US-ASE-2008-BU	08	АЦ	40,6	2,98				
American Silver Eagle 2008 (W)	American Eagle	США	1 доллар	2008-01-01	Вест-Поинт	West Point	Серебро	999/1000	580757	580 757	31,1035	1 унция	US-ASE-2008-W-BU	08W	АЦ	40,6	2,98				
American Silver Eagle 2008 (W)	American Eagle	США	1 доллар	2008-01-01	Вест-Поинт	West Point	Серебро	999/1000	700979	700 979	31,1035	1 унция	US-ASE-2008-W-P	08W	Пруф	40,6	2,98				
American Silver Eagle 2007	American Eagle	США	1 доллар	2007-01-01	Монетный двор США	US Mint	Серебро	999/1000	9028036	9 028 036	31,1035	1 унция	US-ASE-2007-BU	07	АЦ	40,6	2,98				
American Silver Eagle 2007 (W)	American Eagle	США	1 доллар	2007-01-01	Вест-Поинт	West Point	Серебро	999/1000	621333	621 333	31,1035	1 унция	US-ASE-2007-W-BU	07W	АЦ	40,6	2,98				
American Silver Eagle 2007 (W)	American Eagle	США	1 доллар	2007-01-01	Вест-Поинт	West Point	Серебро	999/1000	821759	821 759	31,1035	1 унция	US-ASE-2007-W-P	07W	Пруф	40,6	2,98				
American Silver Eagle 2006	American Eagle	США	1 доллар	2006-01-01	Монетный двор США	US Mint	Серебро	999/1000	10676522	10 676 522	31,1035	1 унция	US-ASE-2006-BU	06	АЦ	40,6	2,98				
American Silver Eagle 2006 (P)	American Eagle	США	1 доллар	2006-01-01	Филадельфия	Philadelphia	Серебро	999/1000	250000	250 000	31,1035	1 унция	US-ASE-2006-P-P	06P	Пруф	40,6	2,98				
American Silver Eagle 2006 (W)	American Eagle	США	1 доллар	2006-01-01	Вест-Поинт	West Point	Серебро	999/1000	468000	468 000	31,1035	1 унция	US-ASE-2006-W-BU	06W	АЦ	40,6	2,98				
American Silver Eagle 2006 (W)	American Eagle	США	1 доллар	2006-01-01	Вест-Поинт	West Point	Серебро	999/1000	1093600	1 093 600	31,1035	1 унция	US-ASE-2006-W-P	06W	Пруф	40,6	2,98				
American Silver Eagle 2005	American Eagle	США	1 доллар	2005-01-01	Монетный двор США	US Mint	Серебро	999/1000	8891025	8 891 025	31,1035	1 унция	US-ASE-2005-BU	05	АЦ	40,6	2,98				
American Silver Eagle 2005 (W)	American Eagle	США	1 доллар	2005-01-01	Вест-Поинт	West Point	Серебро	999/1000	816663	816 663	31,1035	1 унция	US-ASE-2005-W-P	05W	Пруф	40,6	2,98				
American Silver Eagle 2004	American Eagle	США	1 доллар	2004-01-01	Монетный двор США	US Mint	Серебро	999/1000	8882754	8 882 754	31,1035	1 унция	US-ASE-2004-BU	04	АЦ	40,6	2,98				
American Silver Eagle 2004 (W)	American Eagle	США	1 доллар	2004-01-01	Вест-Поинт	West Point	Серебро	999/1000	801602	801 602	31,1035	1 унция	US-ASE-2004-W-P	04W	Пруф	40,6	2,98				
American Silver Eagle 2003	American Eagle	США	1 доллар	2003-01-01	Монетный двор США	US Mint	Серебро	999/1000	8495008	8 495 008	31,1035	1 унция	US-ASE-2003-BU	03	АЦ	40,6	2,98				
American Silver Eagle 2003 (W)	American Eagle	США	1 доллар	2003-01-01	Вест-Поинт	West Point	Серебро	999/1000	747831	747 831	31,1035	1 унция	US-ASE-2003-W-P	03W	Пруф	40,6	2,98				
American Silver Eagle 2002	American Eagle	США	1 доллар	2002-01-01	Монетный двор США	US Mint	Серебро	999/1000	10539026	10 539 026	31,1035	1 унция	US-ASE-2002-BU	02	АЦ	40,6	2,98				
