file	changed	border_dark_ratio	removed_pixels	removed_ratio
rtgr252s-the-royal-tudor-beasts-2025-greyhound-of-richmond-2oz-silver-bullion-coin-rev.webp	0	0.0000	0	0.0000
star-wars-darth-vader-and-emperor-palpatine-2023-uk-5oz-silver-proof-coin-blister-obv.webp	0	0.0000	0	0.0000
star-wars-darth-vader-and-emperor-palpatine-2023-uk-5oz-silver-proof-coin-blister-rev.webp	0	0.0000	0	0.0000
star-wars-darth-vader-and-emperor-palpatine-2023-uk-5oz-silver-proof-coin-obv.webp	1	1.0000	524355	0.3641
star-wars-darth-vader-and-emperor-palpatine-2023-uk-5oz-silver-proof-coin-rev.webp	1	1.0000	524108	0.3640
star-wars-death-star-ll-2024-uk-50p-silver-proof-colour-coin-obv.webp	1	0.9999	587593	0.4081
star-wars-death-star-ll-2024-uk-50p-silver-proof-colour-coin-rev.webp	1	0.9995	543742	0.3776
star-wars-han-solo-and-chewbacca-2024-uk-50p-silver-proof-colour-coin-obv.webp	1	0.9999	547349	0.3801
star-wars-han-solo-and-chewbacca-2024-uk-50p-silver-proof-colour-coin-rev.webp	1	0.9998	547084	0.3799
star-wars-millennium-falcon-2024-uk-50p-silver-proof-colour-coin-obv.webp	1	1.0000	559409	0.3885
star-wars-millennium-falcon-2024-uk-50p-silver-proof-colour-coin-rev.webp	1	0.9998	505488	0.3510
star-wars-tie-fighter-2024-uk-50p-silver-proof-colour-oin-obv.webp	1	0.9998	554810	0.3853
star-wars-tie-fighter-2024-uk-50p-silver-proof-colour-oin-rev.webp	1	0.9998	554810	0.3853
star-wars-x-wing-2024-5oz-silver-proof-coin-box.webp	0	0.0000	0	0.0000
star-wars-x-wing-2024-5oz-silver-proof-coin-obv.webp	0	0.0000	0	0.0000
star-wars-x-wing-2024-5oz-silver-proof-coin-rev.webp	0	0.0000	0	0.0000
star-wars-x-wing-2024-uk-50p-silver-proof-colour-coin-obv.webp	1	0.9997	573804	0.3985
star-wars-x-wing-2024-uk-50p-silver-proof-colour-coin-rev.webp	1	0.9997	546323	0.3794
stegosaurus-2024-50p-silver-proof-colour-coin-box.webp	0	0.0000	0	0.0000
stegosaurus-2024-50p-silver-proof-colour-coin-obv.webp	0	0.0000	0	0.0000
stegosaurus-2024-50p-silver-proof-colour-coin-rev.webp	0	0.0000	0	0.0000
steppe-mammoth-2024-50p-silver-proof-colour-coin-box.webp	0	0.0000	0	0.0000
steppe-mammoth-2024-50p-silver-proof-colour-coin-obv.webp	0	0.0000	0	0.0000
steppe-mammoth-2024-50p-silver-proof-colour-coin-rev.webp	0	0.0000	0	0.0000
stories-of-the-second-world-war-2025-50p-silver-piedfort-proof-coin-box.webp	0	0.0000	0	0.0000
stories-of-the-second-world-war-2025-50p-silver-piedfort-proof-coin-cert.webp	0	0.0000	0	0.0000
stories-of-the-second-world-war-2025-50p-silver-piedfort-proof-coin-obv.webp	0	0.0000	0	0.0000
stories-of-the-second-world-war-2025-50p-silver-piedfort-proof-coin-rev.webp	0	0.0000	0	0.0000
stories-of-the-second-world-war-2025-50p-silver-proof-coin-box.webp	0	0.0000	0	0.0000
stories-of-the-second-world-war-2025-50p-silver-proof-coin-obv.webp	0	0.0000	0	0.0000
stories-of-the-second-world-war-2025-50p-silver-proof-coin-rev.webp	0	0.0000	0	0.0000
team-gb-and-paralympicsgb-2024-50p-silver-proof-colour-coin-box.webp	0	0.0000	0	0.0000
team-gb-and-paralympicsgb-2024-50p-silver-proof-colour-coin-obv.webp	0	0.0000	0	0.0000
team-gb-and-paralympicsgb-2024-50p-silver-proof-colour-coin-rev.webp	0	0.0000	0	0.0000
the-75th-birthday-of-hrh-the-princess-royal-2025-5-pound-silver-proof-coin-cert.webp	0	0.0000	0	0.0000
the-75th-birthday-of-hrh-the-princess-royal-2025-5-pound-silver-proof-coin-obv.webp	0	0.0000	0	0.0000
the-75th-birthday-of-hrh-the-princess-royal-2025-5-pound-silver-proof-coin-rev.webp	0	0.0000	0	0.0000
the-75th-birthday-of-hrh-the-princess-royal-collector-coin-set-obv.webp	0	0.0000	0	0.0000
the-75th-birthday-of-hrh-the-princess-royal-collector-coin-set-rev.webp	0	0.0000	0	0.0000
the-80th-anniversary-of-ve-day-2025-50p-silver-proof-coin-cert.webp	0	0.0000	0	0.0000
the-80th-anniversary-of-ve-day-2025-50p-silver-proof-coin-obv.webp	0	0.0000	0	0.0000
the-80th-anniversary-of-ve-day-2025-50p-silver-proof-coin-rev.webp	0	0.0000	0	0.0000
the-80th-anniversary-of-ve-day-2025-50p-silver-proof-piedfort-coin-box.webp	0	0.0000	0	0.0000
the-80th-anniversary-of-ve-day-2025-50p-silver-proof-piedfort-coin-obv.webp	0	0.0000	0	0.0000
the-80th-anniversary-of-ve-day-2025-50p-silver-proof-piedfort-coin-rev.webp	0	0.0000	0	0.0000
the-80th-anniversary-of-ve-day-collector-two-coin-set-box.webp	0	0.0000	0	0.0000
the-80th-anniversary-of-ve-day-collector-two-coin-set-obv.webp	0	0.0000	0	0.0000
