id,title,mint,country,source_url,official_status,http_status,official_mintage,official_mintage_display,official_raw
4291,Australian Kangaroo 2025 5oz Gold Proof Coin,The Perth Mint,Австралия,https://www.perthmint.com/shop/collector-coins/coins/australian-kangaroo-2025-5oz-gold-proof-coin,found,200,50,50,50
4294,Australian Koala 2021 1oz Gold Proof High Relief Coin,The Perth Mint,Австралия,https://www.perthmint.com/shop/collector-coins/coins/australian-koala-2021-1oz-gold-proof-high-relief-coin,found,200,200,200,200
4295,Australian Koala 2021 5oz Gold Proof Coin,The Perth Mint,Австралия,https://www.perthmint.com/shop/collector-coins/coins/australian-koala-2021-5oz-gold-proof-coin,found,200,50,50,50
4297,Australian Koala 2022 1oz Gold Proof High Relief Coin,The Perth Mint,Австралия,https://www.perthmint.com/shop/collector-coins/coins/australian-koala-2022-1oz-gold-proof-high-relief-coin,found,200,200,200,200
4298,Australian Koala 2022 5oz Gold Proof Coin,The Perth Mint,Австралия,https://www.perthmint.com/shop/collector-coins/coins/australian-koala-2022-5oz-gold-proof-coin,found,200,50,50,50
4300,Australian Koala 2023 1oz Gold Proof High Relief Coin,The Perth Mint,Австралия,https://www.perthmint.com/shop/collector-coins/coins/australian-koala-2023-1oz-gold-proof-high-relief-coin,found,200,200,200,200
4301,Australian Koala 2023 5oz Gold Proof Coin,The Perth Mint,Австралия,https://www.perthmint.com/shop/collector-coins/coins/australian-koala-2023-5oz-gold-proof-coin,found,200,50,50,50
4303,Australian Koala 2024 1oz Gold Proof High Relief Coin,The Perth Mint,Австралия,https://www.perthmint.com/shop/collector-coins/coins/australian-koala-2024-1oz-gold-proof-high-relief-coin,found,200,200,200,200
4304,Australian Koala 2024 5oz Gold Proof Coin,The Perth Mint,Австралия,https://www.perthmint.com/shop/collector-coins/coins/australian-koala-2024-5oz-gold-proof-coin,found,200,50,50,50
4306,Australian Koala 2025 1oz Gold Proof High Relief Coin,The Perth Mint,Австралия,https://www.perthmint.com/shop/collector-coins/coins/australian-koala-2025-1oz-gold-proof-high-relief-coin,found,200,200,200,200
4307,Australian Koala 2025 5oz Gold Proof Coin,The Perth Mint,Австралия,https://www.perthmint.com/shop/collector-coins/coins/australian-koala-2025-5oz-gold-proof-coin,found,200,50,50,50
4310,Australian Kookaburra 2021 2oz Gold Proof High Relief Coin,The Perth Mint,Австралия,https://www.perthmint.com/shop/collector-coins/coins/australian-kookaburra-2021-2oz-gold-proof-high-relief-coin,found,200,125,125,125
4312,Australian Kookaburra 2021 5oz Gold Proof High Relief Coin,The Perth Mint,Австралия,https://www.perthmint.com/shop/collector-coins/coins/australian-kookaburra-2021-5oz-gold-proof-high-relief-coin,found,200,50,50,50
4315,Australian Kookaburra 2022 2oz Gold Proof High Relief Coin,The Perth Mint,Австралия,https://www.perthmint.com/shop/collector-coins/australian-kookaburra-2022-2oz-gold-proof-high-relief-coin,found,200,125,125,125
